# SHEtoken WEI Live Scores — Week 2026-W19
# Generated: 2026-05-10T10:56:55.596375+00:00
# 90% baseline annual data + 10% weekly news signal adjustment
# Full methodology: wei-index/methodology.md
#
rank,state,state_code,ticker,region,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,previous_wei_score,change,hot,verified,update_frequency,wei_version,year,key_programs,notes,wei_score_baseline,signal_count_this_week,wei_data_type
15,Punjab,PB,SHE-PB,North,30.1,50,78,48,76,58,56,60,58,30,57.1,56.9,0.2,false,false,annual,3.0,2025,Punjab Women Development Corporation. ATMA women farmer groups. Mata Tri Shakti scheme.,Improving female literacy. Strong women's panchayat representation. Moderate child marriage (16%). Drug crisis has DV spillover effects.,57.1,0,baseline
16,West Bengal,WB,SHE-WB,East,99.6,52,74,46,70,50.0,54,58,50,42,52.3,49.2,3.4,true,false,quarterly,3.0,2025,"Lakshmi Bhandar (24.1M women, ₹1500-1700/month direct cash transfer). Kanyashree (10M girls, UNESCO prize — reduces child marriage). Rupashree (2.3M women). Swasthya Sathi (2.42M health cards).",Fastest-improving state (+3.4 WEI points). Kanyashree directly reduces child marriage (41% → 34% trend). Lakshmi Bhandar addresses dignity & welfare directly. Period poverty declining in program areas.,52.6,1,live_signal
17,Odisha,OD,SHE-OD,East,46.4,48,70,40,66,46,50,48,44,36,47.8,46.7,1.1,true,false,quarterly,3.0,2025,Mission Shakti SHG network — 70 lakh women members. Odisha Livelihood Mission women's groups.,Mission Shakti is one of India's largest state SHG programs. Moderate child marriage (28%). Tribal areas have higher period poverty.,47.8,0,baseline
18,Haryana,HR,SHE-HR,North,28.9,42,72,44,66,44,48,48,52,56,45.9,45.1,0.8,false,false,annual,3.0,2025,Mahila Samridhi Yojana. Beti Bachao Beti Padhao (origin state). Sakhi One-Stop Centres for DV survivors.,Historically lowest sex ratio at birth — improving from 832 to 916/1000. Beti Bachao program originated here. Honour-based violence remains elevated. Child marriage (21%) declining.,45.9,0,baseline
19,Chhattisgarh,CG,SHE-CG,Central,29.4,48,68,38,62,42,48,44,40,40,44.8,44.1,0.7,false,false,annual,3.0,2025,CG Women's SHG Mission. Tribal women's forest rights cooperatives. Samagra Shiksha menstrual hygiene program.,Strong tribal women's forest rights movement. Above-average panchayat representation. Child marriage (35%) in tribal areas.,44.8,0,baseline
20,Assam,AS,SHE-AS,Northeast,35.6,44,70,38,62,40,46,44,42,42,43.8,43.4,0.4,false,false,annual,3.0,2025,Assam Mahila Samakhya. Tea garden women's cooperatives. SEWA-aligned microfinance in urban areas.,High MMR remains a challenge. Tea garden workers face economic vulnerability. Child marriage (31%) declining. High period poverty in rural areas.,43.8,0,baseline
21,Rajasthan,RJ,SHE-RJ,West,81.0,46,62,38,64,38,46,44,42,38,43.5,41.3,2.2,true,false,quarterly,3.0,2025,"Educate Girls (6.7M beneficiaries, 380K+ girls enrolled). Rajasthan Gramin Aajeevika Vikas Parishad SHGs. Palanhar scheme for orphaned girls.",Educate Girls has transformed female enrollment in rural Rajasthan. Still high child marriage (35%) declining with Educate Girls. High period poverty in rural areas. Educate Girls directly improves Bodily Autonomy pillar.,43.5,0,baseline
22,Jharkhand,JH,SHE-JH,East,38.6,42,62,34,58,36,44,38,36,38,39.9,39.4,0.5,false,false,annual,3.0,2025,JSLPS (Jharkhand State Livelihood Promotion Society) SHGs. Tejaswini tribal women's empowerment program.,Large tribal population. Women's forest rights and land ownership challenges. Child marriage (38%) in tribal areas. High period poverty — government pad distribution schemes active.,39.9,0,baseline
23,Madhya Pradesh,MP,SHE-MP,Central,85.4,44,64,36,60,34,42,40,38,48,39.8,39.9,-0.1,false,false,annual,3.0,2025,Educate Girls (operates in MP). Tejaswini Rural Women's Empowerment. MP Rajya Mahila Aayog.,High crime against women rate (NCRB). Child marriage (32%) — Educate Girls active. High period poverty in tribal areas. Honour-based violence reported.,39.8,0,baseline
24,Bihar,BR,SHE-BR,East,128.5,36,58,28,54,22,38,34,28,36,33.4,34.2,-0.8,false,false,annual,3.0,2025,"JEEViKA — 1.04M SHGs, 34,000+ villages, ₹11,000+ crore bank credit. Mukhyamantri Kanya Utthan Yojana (girl child incentive). Har Ghar Bijli — electricity access enables digital inclusion.","Lowest female LFPR in India (4-6%) but JEEViKA transforming this. Child marriage (40%+) despite Kanya Utthan scheme. High period poverty — government free pad scheme launched 2022. Widow property stripping common in rural areas. JEEViKA directly improves Economic, Dignity & Welfare pillars.",33.4,0,baseline
25,Uttar Pradesh,UP,SHE-UP,North,241.1,34,58,28,54,18,30.0,28,22,68,27.0,27.7,-0.4,false,false,annual,3.0,2025,UP State Rural Livelihoods Mission (UPSRLM) — 9M+ SHG members. Mahila Shakti Kendras (One-Stop Centres). Mission Shakti (UP) — police responsiveness program.,India's most populous state — score has massive index weight. Highest crime against women in absolute numbers (NCRB). Child marriage rate highest among large states. Severe period poverty — government free pad scheme active. Very low female internet access (dgt 22). UPSRLM is transforming economic outcomes at scale.,27.3,1,live_signal
