# SHEtoken Policy Recommendations v2 — 2025
# NOW COVERS: WEI all pillars, GPI, SVI, WEVI, WADI
# Marital rape, conflict SGBV, AI displacement, widow rights,
# period poverty, caste targeting, indigenous women, temple towns
# Every recommendation cites a proven real-world program
# (c) 2026 SHE Foundation
#
country,iso_code,tier,wei_score,priority,pillar,pillar_score,intervention,description,impact,cost,time_to_impact,proven_example,year
Canada,CAN,1,87.2,6,safety_justice,84.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Canada,CAN,1,87.2,7,safety_justice,84.0,Female Police Officers + Gender Training,30% female police target + mandatory DV/SGBV training + women's desks,"WEI Safety +2.0, SVI reporting gap -5%",low,2-3 years,Rwanda 43% female police — highest reporting rates in Africa,2025
Canada,CAN,1,87.2,8,safety_justice,84.0,Free Legal Aid for Women's Cases,"Free legal representation for DV, divorce, custody, property disputes",WEI Safety +2.5,low,1-2 years,"SEWA Legal Services Gujarat — 50,000+ cases supported",2025
Germany,DEU,1,86.9,1,economic,81.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Germany,DEU,1,86.9,2,economic,81.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Germany,DEU,1,86.9,3,economic,81.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Germany,DEU,1,86.9,4,economic,81.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Germany,DEU,1,86.9,5,economic,81.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Germany,DEU,1,86.9,6,empowerment,84.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Germany,DEU,1,86.9,7,empowerment,84.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Germany,DEU,1,86.9,8,safety_justice,85.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Ireland,IRL,1,86.5,1,economic,80.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Ireland,IRL,1,86.5,2,economic,80.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Ireland,IRL,1,86.5,3,economic,80.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Ireland,IRL,1,86.5,4,economic,80.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Ireland,IRL,1,86.5,5,economic,80.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Ireland,IRL,1,86.5,6,empowerment,82.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Ireland,IRL,1,86.5,7,empowerment,82.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Ireland,IRL,1,86.5,8,safety_justice,84.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Australia,AUS,1,85.7,1,economic,79.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Australia,AUS,1,85.7,2,economic,79.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Australia,AUS,1,85.7,3,economic,79.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Australia,AUS,1,85.7,4,economic,79.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Australia,AUS,1,85.7,5,economic,79.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Australia,AUS,1,85.7,6,empowerment,82.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Australia,AUS,1,85.7,7,empowerment,82.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Australia,AUS,1,85.7,8,safety_justice,83.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Belgium,BEL,1,85.5,1,empowerment,80.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Belgium,BEL,1,85.5,2,empowerment,80.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Belgium,BEL,1,85.5,3,economic,80.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Belgium,BEL,1,85.5,4,economic,80.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Belgium,BEL,1,85.5,5,economic,80.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Belgium,BEL,1,85.5,6,economic,80.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
Belgium,BEL,1,85.5,7,economic,80.0,Women's Digital Financial Inclusion,Mobile banking + digital literacy for unbanked women,"WEI Economic +2.0, GPI Financial Inclusion +3.0",low,1-2 years,M-Pesa Kenya women agents — transformed rural financial access,2025
Belgium,BEL,1,85.5,8,safety_justice,83.0,Domestic Violence Law + One-Stop Centres,"Criminalise DV + integrated centres with legal aid, shelter, counselling",WEI Safety +3.0,low-medium,1-3 years,India Sakhi One-Stop Centres — 700+ operational,2025
Austria,AUT,1,84.7,1,empowerment,79.0,Gender Quota in Parliament + Local Government,Reserved seats or candidate quotas for women in all legislative bodies,WEI Empowerment +4.0,very low (law change),immediate (law) + 1 election cycle,Rwanda 61% women parliament via quota — highest globally,2025
Austria,AUT,1,84.7,2,empowerment,79.0,Women's Political Leadership Pipeline,"Mentorship, training, networking for women entering public life",WEI Empowerment +1.5,low,3-5 years,UN Women leadership programs — 50+ countries active,2025
Austria,AUT,1,84.7,3,economic,79.0,Women's Self Help Group Network,Microfinance SHGs with business training and collective bargaining,"WEI Economic +3.0, GPI Wage +1.5",low,2-4 years,"Kudumbashree Kerala — 46 lakh members, half of all Kerala families",2025
Austria,AUT,1,84.7,4,economic,79.0,Direct Cash Transfer to Women,Unconditional monthly cash directly to women's bank accounts,"WEI Economic +2.5, GPI Income Poverty +3.0",medium,immediate,"Lakshmi Bhandar WB — 24.1M women, ₹1500/month, direct autonomy",2025
Austria,AUT,1,84.7,5,economic,79.0,Equal Pay Legislation + Mandatory Reporting,Require employers to publish gender pay gap + enforce penalties,"WEI Economic +2.5, GPI Wage +3.0",low (law),2-4 years,Iceland Equal Pay Certification 2018 — first country to mandate it,2025
Austria,AUT,1,84.7,6,economic,79.0,Maternity + Shared Parental Leave,Generous shared parental leave — incentivise men to take it,"WEI Economic +1.5, GPI Time Poverty +2.0",medium,immediate (law) + culture shift 3-5 yrs,Sweden 16-month shared leave — men now take 30% of leave days,2025
