# SHEtoken Women's Rights Business Compliance Score — Countries 2025
# RATING:  PREFERRED ✅ | ACCEPTABLE 🟢 | CAUTION 🟡 | AVOID 🔴 | EMBARGO ⛔
# Composite = WEI(40%) + SVI(25%) + GPI(20%) + (100-WADI)(15%)
# USE: Before signing any outsourcing, manufacturing, or service contract
# Legal basis: UNGP, EU CS3D, UK Modern Slavery Act, US TVPA
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,composite_score,rating,rating_headline,wei_score,gpi_score,svi_score,wadi_score,main_outsourcing_sectors,key_risk,required_actions,ngo_partners_to_fund,year
11,Mexico,MEX,N. America,52.7,CAUTION,Proceed with enhanced obligations,60,58,42,56,"Manufacturing (maquiladora), automotive, agriculture, nearshoring",CRITICAL: Feminist emergency. 11 women killed daily. Maquiladora female workers face dual automation + violence risk.,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"CIMAC Noticias, Red Mesa de Mujeres",2025
12,South Africa,ZAF,Africa,51.5,CAUTION,Proceed with enhanced obligations,58,52,43,52,"Mining services, financial services, agriculture, BPO",World's highest femicide rate. Domestic workers unprotected.,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"Sonke Gender Justice, People Opposing Women Abuse",2025
13,Philippines,PHL,SE Asia,51.4,CAUTION,Proceed with enhanced obligations,54,55,50,58,"BPO/call centres, garment, electronics assembly, domestic workers",CRITICAL: 1.3M women in BPO — 79% automation risk. Overseas domestic workers face exploitation.,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"GABRIELA, Center for Women's Resources",2025
14,China,CHN,East Asia,50.6,CAUTION,Proceed with enhanced obligations,56,62,32,48,"Electronics, garment, manufacturing, tech services",Factory automation displacing women workers. Limited union rights.,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),China Labour Bulletin (Hong Kong based),2025
15,Vietnam,VNM,SE Asia,46.5,CAUTION,Proceed with enhanced obligations,52,54,38,64,"Garment, electronics, footwear, furniture","HIGH: 2.8M women in garment/electronics. Nike, Samsung automation.",Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"CARE Vietnam, ActionAid Vietnam",2025
16,Saudi Arabia,SAU,Middle East,44.6,CAUTION,Proceed with enhanced obligations,44,46,40,48,"Construction, finance, tech, entertainment (Vision 2030)",CAUTION: Rapid improvement under Vision 2030 but guardianship system partially intact. Women now drive and work but dissidents imprisoned (Loujain al-Hathloul).,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),DAWN (Democracy for Arab World Now),2025
17,Indonesia,IDN,SE Asia,43.0,CAUTION,Proceed with enhanced obligations,50,48,33,66,"Garment, palm oil, electronics, domestic workers export","HIGH: Marital rape legal. Garment automation. 100,000+ women as domestic workers abroad — high exploitation risk.",Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"Kalyanamitra, LBH APIK",2025
18,India,IND,South Asia,41.7,CAUTION,Proceed with enhanced obligations,48,43,34,64,"IT/BPO, garment, agriculture, manufacturing","HIGH: Marital rape not criminalised. Caste-based targeting. 2M women in BPO facing automation. Garment workers in Tirupur, Bangalore face WADI risk.",Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),"SEWA, Majlis, Breakthrough India",2025
19,Bangladesh,BGD,South Asia,34.6,AVOID,Do not initiate new business — review existing,44,36,26,78,"Garment (world's #2 exporter), pharmaceuticals",CRITICAL: 4M women garment workers face near-total automation by 2030. Marital rape legal. Acid attack reprisals against workers who organise.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,"BNWLA, Naripokkho, Bangladesh Legal Aid",2025
20,Nigeria,NGA,Africa,31.6,AVOID,Do not initiate new business — review existing,34,32,27,68,"Oil services, agriculture, textiles",HIGH: North-south divide. Kano state — Sharia law severely restricts women. Female oil workers face harassment.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,"BAOBAB, Women's Rights Advancement and Protection Alternative",2025
21,Pakistan,PAK,South Asia,31.3,AVOID,Do not initiate new business — review existing,38,28,25,72,"Garment, textile, leather, agriculture","HIGH: Marital rape legal. Honour killings. Female workers in textile cities (Faisalabad, Karachi) face violence when organising.",CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,"Shirkat Gah, War Against Rape",2025
22,Cambodia,KHM,SE Asia,29.5,AVOID,Do not initiate new business — review existing,36,30,28,86,"Garment, tourism, agriculture","CRITICAL: 90% garment workers are women. H&M, Gap, Zara sourcing here. Automation will eliminate most jobs by 2030 with zero transition support.",CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,"LICADHO, Cambodian Women Crisis Centre",2025
23,Iran,IRN,Middle East,28.8,AVOID,Do not initiate new business — review existing,28,22,30,62,"Petrochemicals, carpet weaving, some manufacturing",AVOID: Women protesting at risk of death (Mahsa Amini). No independent trade unions. Morality police enforce dress code at work.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,Iran Human Rights (diaspora),2025
24,Ethiopia,ETH,Africa,27.1,AVOID,Do not initiate new business — review existing,32,26,23,78,"Garment (Hawassa Industrial Park), agriculture, coffee","HIGH: 60,000 women in Hawassa garment park — Chinese-owned, automating fastest. Tigray conflict SGBV ongoing.",CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,Ethiopian Women Lawyers Association,2025
25,Myanmar,MMR,SE Asia,26.4,AVOID,Do not initiate new business — review existing,28,24,19,62,"Garment, agriculture, jade mining",AVOID: Military junta SGBV documented. Garment brands pulling out since 2021 coup.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,Gender Equality Network Myanmar,2025
26,Sudan,SDN,Africa,21.1,AVOID,Do not initiate new business — review existing,20,18,13,58,"Agriculture, gum arabic, some manufacturing",AVOID: Active civil war. Mass rape documented by RSF. No functioning legal system for women.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,Sudanese Women's Union,2025
27,Yemen,YEM,Middle East,20.0,AVOID,Do not initiate new business — review existing,18,12,14,54,None — active conflict zone,EMBARGO: Active conflict. Houthi SGBV documented. No functioning state. No responsible business possible.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,CARE Yemen emergency,2025
28,DRC,COD,Africa,18.9,EMBARGO,Exit existing operations — no new business,22,18,3,62,"Mining (cobalt, coltan), agriculture","AVOID: CRITICAL cobalt supply chain. Artisanal mining employs women and girls. Armed group SGBV at mine sites. iPhone, EV battery supply chain implicated.",No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,"PILI-PILI, Organisation pour la Défense des Droits",2025
29,Somalia,SOM,Africa,15.6,EMBARGO,Exit existing operations — no new business,12,8,8,52,None — failed state,EMBARGO: No functioning legal system. Al-Shabaab controls large territories. FGM near-universal. No responsible business possible.,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,Somali Women Development Centre,2025
30,Afghanistan,AFG,South Asia,9.7,EMBARGO,Exit existing operations — no new business,4,8,9,72,None — economy collapsed,"EMBARGO: Taliban have banned women from work, education, public life. No responsible business possible.",No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,Support Afghan Women (diaspora org),2025
