# SHEtoken Women's Rights Business Compliance — USA States 2025
# Composite = Bodily Autonomy(45%) + WEI(35%) + Pay Equity Law(20%)
# Post-Dobbs analysis: which US states are safe for female employees?
# (c) 2026 SHE Foundation
#
rank,state,state_code,composite_score,rating,rating_headline,wei_score,bodily_autonomy_score,maternal_mortality_tier,pay_equity_law,key_risk,recommendation,required_actions,year
20,North Carolina,NC,45.2,CAUTION,Proceed with enhanced obligations,62,39,3,weak,12-week ban. Rural healthcare deserts.,CAUTION — require reproductive travel benefits,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),2025
21,Ohio,OH,41.0,CAUTION,Proceed with enhanced obligations,60,31,3,weak,Constitutional amendment 2023 but contested.,CAUTION — monitor legal landscape,Human Rights Impact Assessment before any new contract | Annual third-party gender audit of all suppliers | Fund local women's NGO partner (min 0.5% of contract value) | Board-level sign-off on new outsourcing decisions | Require supplier to publish female workforce data | Include women's rights clauses in all contracts | Provide female workers direct grievance access (shetoken.org/signal),2025
22,Utah,UT,34.7,AVOID,Do not initiate new business — review existing,55,21,3,weak,Near-total ban with narrow exceptions.,AVOID,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,2025
23,Georgia,GA,31.1,AVOID,Do not initiate new business — review existing,55,13,3,weak,6-week ban. High Black maternal mortality. Atlanta HQ decisions require enhanced review.,AVOID — do not expand Atlanta operations without comprehensive employee protection package. Maternal mortality increase +33% post-Dobbs.,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,2025
24,South Carolina,SC,28.4,AVOID,Do not initiate new business — review existing,50,11,3,weak,6-week ban. High maternal mortality.,AVOID,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,2025
25,Indiana,IN,28.2,AVOID,Do not initiate new business — review existing,52,9,3,weak,Near-total ban. High maternal mortality.,AVOID — do not initiate new operations,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,2025
26,Wyoming,WY,20.1,AVOID,Do not initiate new business — review existing,46,9,4,none,Near-total ban.,AVOID,CEO/Board approval required for any new contract | Immediate audit of existing supplier female workforce conditions | Set 18-month remediation timeline with measurable WEI targets | If no improvement: exit plan required | Disclose in Modern Slavery Act statement | Do not expand existing relationships,2025
27,Missouri,MO,19.4,EMBARGO,Exit existing operations — no new business,44,9,4,none,Total ban.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
28,Idaho,ID,17.6,EMBARGO,Exit existing operations — no new business,44,5,4,none,Total ban + shield law criminalising travel.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
29,West Virginia,WV,17.6,EMBARGO,Exit existing operations — no new business,44,5,4,none,Near-total ban. High poverty.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
30,Texas,TX,17.2,EMBARGO,Exit existing operations — no new business,48,1,4,none,TOTAL BAN since 2021. Highest maternal mortality increase post-Dobbs (+13%). Criminal penalties for doctors. No exceptions for rape or incest.,"AVOID — no new Texas operations without: (1) out-of-state reproductive healthcare + travel coverage, (2) relocation support for affected employees, (3) CEO sign-off. Existing Austin/Dallas operations: board review required.",No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
31,North Dakota,ND,16.8,EMBARGO,Exit existing operations — no new business,44,3,4,none,Near-total ban.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
32,Louisiana,LA,15.4,EMBARGO,Exit existing operations — no new business,44,0,4,none,Total ban. No exceptions for rape or incest. Criminal penalties.,AVOID — do not initiate. Review exit for existing.,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
33,South Dakota,SD,15.4,EMBARGO,Exit existing operations — no new business,44,0,4,none,Total ban.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
34,Tennessee,TN,15.1,EMBARGO,Exit existing operations — no new business,42,1,4,none,Total ban. Criminal penalties.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
35,Kentucky,KY,14.7,EMBARGO,Exit existing operations — no new business,42,0,4,none,Total ban.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
36,Oklahoma,OK,14.7,EMBARGO,Exit existing operations — no new business,42,0,4,none,Total ban + criminal penalties.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
37,Mississippi,MS,14.0,EMBARGO,Exit existing operations — no new business,40,0,4,none,Total ban. HIGHEST maternal mortality in USA. Jackson water crisis. Lowest female education indicators.,AVOID — strongly recommend against any new operations,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
38,Alabama,AL,14.0,EMBARGO,Exit existing operations — no new business,40,0,4,none,Total ban + IVF ruling 2024. No exceptions. Among worst maternal mortality in USA.,AVOID — strongly recommend against any new operations,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
39,Arkansas,AR,14.0,EMBARGO,Exit existing operations — no new business,40,0,4,none,Total ban. Lowest female education indicators.,AVOID,No new contracts under any circumstances | Board-mandated exit strategy for existing operations | Report under UNGP Pillar III (access to remedy) | Disclose in annual report | Support affected women workers through transition fund,2025
